center,area,orientation,poly,id
"(11.27849746949824, 48.101205357309546)",184.3955229446292,,"[(11.2784478, 48.1012861), (11.2785859, 48.1012612), (11.2785758, 48.1012364), (11.2786116, 48.1012299), (11.2785907, 48.1011785), (11.278555, 48.1011849), (11.2785304, 48.1011242), (11.2783924, 48.1011491), (11.2784478, 48.1012861)]",oberbayern-houses_24
"(12.101573673429435, 48.30145214175412)",201.8225906286389,False,"[(12.1016842, 48.3015054), (12.1016711, 48.3013881), (12.1014629, 48.3013994), (12.1014759, 48.3015157), (12.1016842, 48.3015054)]",oberbayern-houses_25
"(11.998471387803761, 47.866099904136114)",100.0107084494084,,"[(11.998392, 47.8660649), (11.9985138, 47.8660429), (11.9985508, 47.8661349), (11.998429, 47.8661569), (11.9984207, 47.8661364), (11.998392, 47.8660649)]",oberbayern-houses_26
"(11.625957549999999, 48.0922276)",106.14708897517994,,"[(11.6258947, 48.092278), (11.6260257, 48.0922749), (11.6260204, 48.0921772), (11.6258894, 48.0921803), (11.6258947, 48.092278)]",oberbayern-houses_27
"(11.62559925, 48.0922414)",80.49907801160589,,"[(11.625642, 48.0921866), (11.6256465, 48.0922945), (11.6255565, 48.0922962), (11.625552, 48.0921883), (11.625642, 48.0921866)]",oberbayern-houses_28
"(11.625049834105798, 48.09224205556919)",169.92727583646774,False,"[(11.6249716, 48.0923038), (11.6251437, 48.0923025), (11.625142, 48.092208), (11.6250771, 48.0922085), (11.6250764, 48.0921688), (11.6249692, 48.0921697), (11.6249716, 48.0923038)]",oberbayern-houses_29
"(11.627783907756923, 48.0918903238168)",242.3703987244517,,"[(11.6277094, 48.0919817), (11.6276925, 48.0918061), (11.6278584, 48.0917989), (11.6278753, 48.0919746), (11.6277094, 48.0919817)]",oberbayern-houses_30
"(11.627760057897063, 48.09164322015011)",236.08056374127045,,"[(11.6276793, 48.0917374), (11.6278496, 48.0917296), (11.6278311, 48.0915482), (11.6276573, 48.0915561), (11.627663, 48.091612), (11.6277244, 48.0916092), (11.6277292, 48.0916562), (11.6276713, 48.0916589), (11.6276793, 48.0917374)]",oberbayern-houses_31
"(11.627727276123629, 48.09144935466871)",105.6540559111163,True,"[(11.6276566, 48.0914951), (11.6276482, 48.0914103), (11.6277979, 48.0914036), (11.6278064, 48.0914884), (11.6276566, 48.0914951)]",oberbayern-houses_32
"(11.627721034753444, 48.09121897291276)",149.46893702540547,False,"[(11.627676, 48.0913003), (11.6276697, 48.0912357), (11.6276544, 48.0912364), (11.6276463, 48.0911539), (11.6277844, 48.0911479), (11.6277928, 48.091234), (11.6277707, 48.0912349), (11.6277767, 48.0912959), (11.627676, 48.0913003)]",oberbayern-houses_33
"(11.6276674, 48.09096105)",160.80820362269878,False,"[(11.6275793, 48.0910173), (11.6275668, 48.0909151), (11.6277555, 48.0909048), (11.627768, 48.091007), (11.6275793, 48.0910173)]",oberbayern-houses_34
"(11.625234371867453, 48.093255748098755)",129.45710384380072,,"[(11.6251191, 48.0932979), (11.6251068, 48.0932346), (11.6253497, 48.0932136), (11.6253619, 48.0932769), (11.6251191, 48.0932979)]",oberbayern-houses_35
"(11.625175680091365, 48.093132527336266)",113.0188944460824,True,"[(11.6250922, 48.0931773), (11.6250781, 48.0931031), (11.6252592, 48.0930878), (11.6252733, 48.0931619), (11.6250922, 48.0931773)]",oberbayern-houses_36
"(11.6273636, 48.09329195000001)",175.66222026199102,,"[(11.627286, 48.0933586), (11.6272736, 48.0932326), (11.6274412, 48.0932253), (11.6274536, 48.0933513), (11.627286, 48.0933586)]",oberbayern-houses_37
"(11.372225149375648, 48.25997383179032)",240.92074319161475,False,"[(11.3720759, 48.2600119), (11.3720975, 48.2599532), (11.3721264, 48.2599579), (11.3721496, 48.2598949), (11.3723618, 48.2599296), (11.372317, 48.2600513), (11.3720759, 48.2600119)]",oberbayern-houses_38
"(11.703738298888405, 48.04606105648094)",103.01393809914588,,"[(11.7036543, 48.0460931), (11.7037955, 48.0461132), (11.7038223, 48.046029), (11.7037336, 48.0460164), (11.7036811, 48.0460089), (11.7036543, 48.0460931)]",oberbayern-houses_39
"(11.67132712088614, 48.05078271077867)",1663.8834340956528,False,"[(11.6710082, 48.0509931), (11.6710434, 48.0509326), (11.6712495, 48.0505782), (11.6712655, 48.0505508), (11.6712908, 48.0505072), (11.6713215, 48.0504542), (11.6714228, 48.0504804), (11.6714631, 48.0504909), (11.6714613, 48.0505709), (11.6716066, 48.0505723), (11.6715014, 48.050753), (11.6715882, 48.0507756), (11.6714592, 48.0509974), (11.6714199, 48.0509872), (11.6713805, 48.050977), (11.6713403, 48.0510461), (11.6712362, 48.0510191), (11.6712279, 48.0510333), (11.6712194, 48.051048), (11.6710082, 48.0509931)]",oberbayern-houses_40
"(11.721914145952013, 48.172985003859495)",70.68979292362928,,"[(11.7218758, 48.1729236), (11.721944, 48.1729218), (11.7219529, 48.173046), (11.7219141, 48.1730472), (11.7218839, 48.1730481), (11.7218758, 48.1729236)]",oberbayern-houses_41
"(11.72312741375432, 48.17334999755631)",65.87973933923058,False,"[(11.723032, 48.173322), (11.7230247, 48.1733616), (11.7232228, 48.173378), (11.723227, 48.1733552), (11.7232302, 48.1733384), (11.723032, 48.173322)]",oberbayern-houses_42
"(11.068053428785213, 47.47518550957885)",222.1792022958398,,"[(11.068213, 47.4751834), (11.0681308, 47.4751287), (11.0680773, 47.4751655), (11.0679784, 47.4750996), (11.0678944, 47.4751573), (11.0680754, 47.4752778), (11.068213, 47.4751834)]",oberbayern-houses_43
"(11.680771950000002, 47.9135854)",157.26117311418056,,"[(11.6806598, 47.9136155), (11.6808437, 47.9136505), (11.6808841, 47.9135553), (11.6807002, 47.9135203), (11.6806598, 47.9136155)]",oberbayern-houses_44
"(11.680465687012608, 47.91354534885549)",134.49293658696115,,"[(11.6803626, 47.9135735), (11.6805303, 47.9136062), (11.6805607, 47.9135358), (11.6805688, 47.9135172), (11.6804011, 47.9134845), (11.6803626, 47.9135735)]",oberbayern-houses_45
"(11.680667949999998, 47.913300899999996)",137.109418656677,,"[(11.680568, 47.9133368), (11.6807482, 47.9133546), (11.6807679, 47.913265), (11.6805877, 47.9132472), (11.680568, 47.9133368)]",oberbayern-houses_46
"(12.725522923924885, 48.15397490624114)",211.34868836030364,,"[(12.72559, 48.1539076), (12.7255718, 48.1538873), (12.7253841, 48.1539624), (12.725474, 48.1540625), (12.7256618, 48.1539874), (12.72559, 48.1539076)]",oberbayern-houses_47
"(12.725729333102297, 48.15482822715472)",235.8002921375446,,"[(12.7258142, 48.1548841), (12.7256583, 48.154897), (12.7256317, 48.1548992), (12.725607, 48.154766), (12.7257284, 48.154756), (12.7257325, 48.1547779), (12.7258394, 48.154769), (12.7258601, 48.1548803), (12.7258142, 48.1548841)]",oberbayern-houses_48
"(12.728287679558692, 48.15494515997041)",186.5567501336336,,"[(12.7283487, 48.1549814), (12.7282442, 48.1550289), (12.7281549, 48.1549416), (12.7283312, 48.1548614), (12.7284204, 48.1549487), (12.7283487, 48.1549814)]",oberbayern-houses_49
