center,area,orientation,poly,id
"(11.36388319419851, 51.005197523468595)",85.932985519059,along,"[(11.3637963, 51.0052232), (11.3639493, 51.0052413), (11.3639581, 51.0052121), (11.3639701, 51.0051719), (11.3638171, 51.0051537), (11.3637963, 51.0052232)]",thueringen-houses_23
"(10.656763351452952, 50.59961729284681)",106.01582081383094,,"[(10.6566862, 50.5996648), (10.656836, 50.5996601), (10.6568394, 50.5995685), (10.6567624, 50.5995726), (10.6566911, 50.5995745), (10.6566862, 50.5996648)]",thueringen-houses_24
"(11.403022445729928, 51.30698758253772)",100.54832432419062,,"[(11.4029245, 51.3069693), (11.4030055, 51.3070506), (11.4031204, 51.3070058), (11.4030394, 51.3069246), (11.4029245, 51.3069693)]",thueringen-houses_25
"(12.102781649999999, 50.87804925)",106.80548719968647,across,"[(12.1028576, 50.8780941), (12.1028488, 50.8779991), (12.1027057, 50.8780044), (12.1027145, 50.8780994), (12.1028576, 50.8780941)]",thueringen-houses_26
"(10.342486422399006, 50.96273587742415)",220.23146634921432,,"[(10.3424869, 50.9628302), (10.3426079, 50.9628179), (10.3425622, 50.9626574), (10.3423312, 50.9626867), (10.3423509, 50.9627599), (10.3424686, 50.9627479), (10.3424869, 50.9628302)]",thueringen-houses_27
"(10.99558442346667, 51.1622403446345)",94.12799716275185,,"[(10.9956456, 51.1621921), (10.9955102, 51.1622), (10.9955233, 51.1622886), (10.9956586, 51.1622807), (10.9956456, 51.1621921)]",thueringen-houses_28
"(10.435562, 50.82376365)",35.224522705189884,,"[(10.4356163, 50.8237465), (10.4355217, 50.823735), (10.4355077, 50.8237808), (10.4356023, 50.8237923), (10.4356163, 50.8237465)]",thueringen-houses_29
"(11.955983110348743, 51.00851652369883)",129.7036773627624,,"[(11.9560483, 51.0084558), (11.955904, 51.0084628), (11.9559179, 51.0085772), (11.9560622, 51.0085703), (11.9560483, 51.0084558)]",thueringen-houses_30
"(10.85696690194885, 51.370610832857004)",118.81656840629876,,"[(10.8569173, 51.3705489), (10.8570487, 51.3705606), (10.8570192, 51.3706728), (10.8568824, 51.3706594), (10.8569173, 51.3705489)]",thueringen-houses_31
"(10.891165473878583, 50.809954716185004)",74.8553939461708,,"[(10.891143, 50.8100082), (10.8912528, 50.8099592), (10.891188, 50.8099012), (10.8910781, 50.8099503), (10.891143, 50.8100082)]",thueringen-houses_32
"(11.427844171378336, 51.3019574543201)",135.04155096784234,,"[(11.4279575, 51.301937), (11.4278119, 51.3018865), (11.4277853, 51.3019165), (11.4277308, 51.3019779), (11.4278765, 51.3020284), (11.4279575, 51.301937)]",thueringen-houses_33
"(12.000644756518222, 50.887839826578904)",110.72770922258496,,"[(12.0005868, 50.8878965), (12.0005455, 50.8878148), (12.0007028, 50.8877832), (12.000744, 50.8878648), (12.0005868, 50.8878965)]",thueringen-houses_34
"(11.7400782, 50.413771149999995)",68.01385863125324,,"[(11.7401372, 50.4138076), (11.7400192, 50.4138076), (11.7400192, 50.4137347), (11.7401372, 50.4137347), (11.7401372, 50.4138076)]",thueringen-houses_35
"(11.429906712915992, 51.300490646895675)",166.80532074719667,,"[(11.4299534, 51.3004078), (11.4298262, 51.3004463), (11.4297823, 51.3004596), (11.4298356, 51.3005285), (11.4298604, 51.300521), (11.4299042, 51.3005776), (11.4300121, 51.3005449), (11.4299586, 51.3004758), (11.4299971, 51.3004642), (11.4299534, 51.3004078)]",thueringen-houses_36
"(11.086681400000002, 51.083881899999994)",143.07213360257447,,"[(11.0866, 51.0839388), (11.0867567, 51.083942), (11.0867628, 51.083825), (11.0866061, 51.0838218), (11.0866, 51.0839388)]",thueringen-houses_37
"(11.446516597823388, 51.29378014780947)",111.44029542151839,,"[(11.4464542, 51.2938222), (11.4464882, 51.29382), (11.4464944, 51.2938381), (11.4465907, 51.2938252), (11.446603, 51.2938235), (11.4465682, 51.2937222), (11.4464264, 51.2937413), (11.4464542, 51.2938222)]",thueringen-houses_38
"(10.661237998235327, 50.59947350478765)",78.85876838676631,,"[(10.6611735, 50.599513), (10.6613112, 50.5995063), (10.6613025, 50.599434), (10.6612537, 50.5994364), (10.661208, 50.5994386), (10.6611648, 50.5994407), (10.6611735, 50.599513)]",thueringen-houses_39
"(12.089803521154321, 50.88648574349252)",133.00927323591895,,"[(12.0898904, 50.8864369), (12.0897211, 50.8864338), (12.089717, 50.8865279), (12.0897648, 50.8865288), (12.0897642, 50.8865431), (12.0898379, 50.8865444), (12.0898385, 50.88653), (12.0898863, 50.8865308), (12.0898904, 50.8864369)]",thueringen-houses_40
"(11.293366377179348, 51.36122307428703)",181.00154746323824,,"[(11.2933986, 51.3611535), (11.2933486, 51.3611741), (11.2935072, 51.3612982), (11.2934291, 51.3613401), (11.2933634, 51.3612835), (11.2932846, 51.3612155), (11.2932339, 51.3611718), (11.2932986, 51.3611459), (11.2932803, 51.3611276), (11.293334, 51.3611032), (11.2933681, 51.3611299), (11.2933986, 51.3611535)]",thueringen-houses_41
"(10.897610549999998, 50.887317999999986)",139.5208815196529,,"[(10.8975338, 50.8873753), (10.8976987, 50.8873683), (10.8976873, 50.8872607), (10.8975224, 50.8872677), (10.8975338, 50.8873753)]",thueringen-houses_42
"(10.655967018535428, 50.99673080382144)",94.7737018018961,,"[(10.655996, 50.99679), (10.656058, 50.9967073), (10.6559381, 50.9966716), (10.655876, 50.9967543), (10.655996, 50.99679)]",thueringen-houses_43
"(10.800434074495694, 51.51089574521971)",171.14135590055957,,"[(10.8003387, 51.510954), (10.8005349, 51.5109503), (10.8005295, 51.5108375), (10.8003332, 51.5108412), (10.8003387, 51.510954)]",thueringen-houses_44
"(11.428662416519533, 51.299509047126286)",101.58637840626761,,"[(11.4285658, 51.2994836), (11.4286912, 51.2994537), (11.4287247, 51.2995085), (11.4287761, 51.2994962), (11.4287909, 51.2995205), (11.4287403, 51.2995326), (11.4286145, 51.2995626), (11.4285914, 51.2995247), (11.4285766, 51.2995283), (11.4285725, 51.2995215), (11.4285649, 51.299509), (11.4285793, 51.2995056), (11.4285658, 51.2994836)]",thueringen-houses_45
"(10.974705782505175, 50.671850887052514)",184.29765106271952,,"[(10.9746471, 50.6719279), (10.9748209, 50.6719026), (10.9747846, 50.6718026), (10.9747423, 50.6718087), (10.9747289, 50.6717716), (10.9745974, 50.6717908), (10.9746471, 50.6719279)]",thueringen-houses_46
"(11.258786836486696, 50.685138778915054)",87.51649275794625,,"[(11.2587329, 50.6851877), (11.2588705, 50.6851661), (11.2588408, 50.6850899), (11.2587032, 50.6851114), (11.2587329, 50.6851877)]",thueringen-houses_47
"(11.434864875741738, 51.29378737351901)",167.31995986471884,,"[(11.434749, 51.2938345), (11.4349829, 51.2938333), (11.4349786, 51.2937412), (11.4347513, 51.2937396), (11.434749, 51.2938345)]",thueringen-houses_48
"(10.988221113427384, 50.69231869367208)",106.27734750043601,,"[(10.9882076, 50.6923956), (10.9881249, 50.6923662), (10.9882344, 50.6922419), (10.9883174, 50.6922712), (10.9883068, 50.6922834), (10.9882693, 50.6923256), (10.9882076, 50.6923956)]",thueringen-houses_49
"(11.2561824, 50.6875896)",202.45452544093132,,"[(11.2561579, 50.6876796), (11.2563264, 50.6875862), (11.2562069, 50.6874996), (11.2560384, 50.687593), (11.2561579, 50.6876796)]",thueringen-houses_50
"(10.980416819466816, 50.668995866539454)",231.34387063328177,,"[(10.9802785, 50.6689363), (10.9803059, 50.6690068), (10.9803296, 50.6690031), (10.9803566, 50.6690726), (10.9804524, 50.6690576), (10.9804617, 50.6690815), (10.9805497, 50.6690677), (10.9805351, 50.6690277), (10.9805221, 50.6690298), (10.9805088, 50.6689954), (10.9805225, 50.6689933), (10.9805057, 50.6689475), (10.9804875, 50.6689503), (10.9804765, 50.6689217), (10.980426, 50.6689296), (10.9804201, 50.6689143), (10.9802785, 50.6689363)]",thueringen-houses_51
"(11.962254936612721, 51.00606982454295)",130.15766775375232,,"[(11.9623346, 51.0061221), (11.962339, 51.0060204), (11.9621753, 51.0060175), (11.9621709, 51.0061193), (11.9623346, 51.0061221)]",thueringen-houses_52
"(10.869647449999997, 51.36867535)",206.68337611155584,,"[(10.8695659, 51.3687596), (10.8695732, 51.3685885), (10.869729, 51.3685911), (10.8697217, 51.3687622), (10.8695659, 51.3687596)]",thueringen-houses_53
"(11.07899549921032, 50.465289928625516)",72.20483322907239,,"[(11.0789133, 50.4652389), (11.0789077, 50.46525), (11.0789432, 50.4652584), (11.0789259, 50.465288), (11.0789159, 50.4653052), (11.0790487, 50.4653366), (11.0790817, 50.4652788), (11.0789133, 50.4652389)]",thueringen-houses_54
"(12.00821591672073, 50.889934201995004)",80.04754689335823,,"[(12.0081268, 50.8899449), (12.0082144, 50.889877), (12.008305, 50.8899235), (12.0082175, 50.8899914), (12.0081268, 50.8899449)]",thueringen-houses_55
"(11.7382399, 50.41469974999999)",102.17440830171108,,"[(11.738179, 50.4147528), (11.738179, 50.4146467), (11.7383008, 50.4146467), (11.7383008, 50.4147528), (11.738179, 50.4147528)]",thueringen-houses_56
"(11.447094660297498, 51.29422918230317)",138.50084634218365,,"[(11.4470303, 51.2942949), (11.4471915, 51.2942711), (11.4471496, 51.2941601), (11.4470175, 51.2941796), (11.4470303, 51.2942137), (11.4470012, 51.2942179), (11.4470063, 51.2942314), (11.4470303, 51.2942949)]",thueringen-houses_57
"(11.31761715, 50.984529849999994)",92.66874757222831,,"[(11.3175421, 50.984574), (11.3177135, 50.9845522), (11.3176922, 50.9844857), (11.3175208, 50.9845075), (11.3175421, 50.984574)]",thueringen-houses_58
"(12.65658372182298, 50.908047782499764)",238.04312739148736,,"[(12.6564693, 50.9079648), (12.6564096, 50.9080544), (12.6566981, 50.9081308), (12.6567578, 50.9080411), (12.6564693, 50.9079648)]",thueringen-houses_59
"(10.980215788570634, 50.66851450504249)",147.3204959370196,,"[(10.9800888, 50.6685114), (10.9802715, 50.6684421), (10.9802958, 50.6684679), (10.9803428, 50.6685176), (10.9801601, 50.6685869), (10.9800888, 50.6685114)]",thueringen-houses_60
"(11.571670750000001, 50.6612446)",117.62135575711727,,"[(11.571675, 50.6613139), (11.5717792, 50.6612537), (11.5716665, 50.6611753), (11.5715623, 50.6612355), (11.571675, 50.6613139)]",thueringen-houses_61
"(11.40125109238468, 51.3091425496937)",142.0479103177786,,"[(11.4012301, 51.3092214), (11.4013669, 51.3091561), (11.4012491, 51.3090596), (11.4011686, 51.309098), (11.401204, 51.309127), (11.4011477, 51.3091539), (11.4012301, 51.3092214)]",thueringen-houses_62
"(11.422085573406871, 51.17199644968864)",109.59437701106071,,"[(11.4220597, 51.1719287), (11.4221946, 51.1720097), (11.4221491, 51.1720395), (11.4221115, 51.1720642), (11.4219765, 51.1719832), (11.4219879, 51.1719758), (11.4220597, 51.1719287)]",thueringen-houses_63
"(12.093531314038945, 50.87935082876405)",138.9217258989811,across,"[(12.0934253, 50.8793853), (12.0936018, 50.8794116), (12.0936373, 50.8793163), (12.0934608, 50.8792901), (12.0934253, 50.8793853)]",thueringen-houses_64
"(11.433928616848444, 51.296061990097236)",63.837903225794435,,"[(11.4339265, 51.2961166), (11.4338817, 51.2960651), (11.4338563, 51.2960315), (11.4339302, 51.2960076), (11.433969, 51.2960501), (11.4340004, 51.2960928), (11.4339265, 51.2961166)]",thueringen-houses_65
"(11.567531071994772, 50.93477138444182)",186.11205234378576,,"[(11.5674797, 50.9348519), (11.5676616, 50.9347985), (11.5675824, 50.9346909), (11.5674006, 50.9347442), (11.5674797, 50.9348519)]",thueringen-houses_66
"(11.037368044327366, 51.15441372301714)",136.72498876601458,,"[(11.0374127, 51.1544949), (11.037435, 51.1543388), (11.0373234, 51.1543325), (11.0373011, 51.1544887), (11.0374127, 51.1544949)]",thueringen-houses_67
"(11.299170697501648, 51.367063822416846)",110.60655285511166,,"[(11.2992497, 51.3671058), (11.29919, 51.3671091), (11.2991924, 51.3671266), (11.2991559, 51.3671285), (11.2991537, 51.3671127), (11.2991111, 51.367115), (11.2990965, 51.3670102), (11.2991805, 51.3670056), (11.2991827, 51.3670214), (11.2992375, 51.3670184), (11.2992497, 51.3671058)]",thueringen-houses_68
"(11.32560957421056, 50.70664169647461)",150.05312676727772,,"[(11.3254872, 50.7066508), (11.325536, 50.7066781), (11.3256102, 50.7067197), (11.3257319, 50.7066326), (11.325609, 50.7065637), (11.3254872, 50.7066508)]",thueringen-houses_69
"(11.40587928253879, 51.30578715162525)",98.91841781139374,,"[(11.4058496, 51.3058478), (11.4059794, 51.3057974), (11.4059089, 51.3057265), (11.4057792, 51.3057769), (11.4058496, 51.3058478)]",thueringen-houses_70
"(11.293929809476984, 51.36342411690574)",205.63922211527824,,"[(11.2939819, 51.3633362), (11.2937797, 51.3634227), (11.2938777, 51.363512), (11.2940799, 51.3634256), (11.2940332, 51.363383), (11.2939819, 51.3633362)]",thueringen-houses_71
"(11.57381995, 50.926044950000005)",162.57899702340364,,"[(11.5737207, 50.9260965), (11.5737303, 50.9259868), (11.5739192, 50.9259934), (11.5739096, 50.9261031), (11.5737207, 50.9260965)]",thueringen-houses_72
"(10.604663855806733, 51.539961796057625)",93.1921882070601,,"[(10.6047596, 51.5399474), (10.6046867, 51.5400214), (10.6045681, 51.5399762), (10.604641, 51.5399022), (10.604735, 51.539938), (10.6047596, 51.5399474)]",thueringen-houses_73
"(10.916528457564473, 51.28616907429595)",50.22770699067041,,"[(10.9165693, 51.2862103), (10.9165644, 51.2861261), (10.9164876, 51.2861279), (10.9164925, 51.286212), (10.9165693, 51.2862103)]",thueringen-houses_74
"(11.423985182942952, 51.17563954452386)",119.1387047264725,,"[(11.4238745, 51.1756868), (11.4239648, 51.1755774), (11.4240204, 51.1755954), (11.424031, 51.1755826), (11.4241107, 51.1756084), (11.4240788, 51.1756471), (11.4240534, 51.1756389), (11.4240326, 51.1756641), (11.4240047, 51.1756551), (11.4239565, 51.1757134), (11.4238745, 51.1756868)]",thueringen-houses_75
"(11.7402988, 50.414511700000006)",164.86404829472303,,"[(11.7401866, 50.4144706), (11.7402597, 50.4145903), (11.740411, 50.4145528), (11.7403379, 50.4144331), (11.7401866, 50.4144706)]",thueringen-houses_76
"(10.768890313064269, 51.499379428236)",77.93638073466718,,"[(10.7689452, 51.4994256), (10.7689435, 51.4993323), (10.768835, 51.4993334), (10.7688374, 51.4994262), (10.7688767, 51.4994264), (10.7689452, 51.4994256)]",thueringen-houses_77
"(11.264454101725399, 50.684040602226105)",140.84274657443166,,"[(11.2643656, 50.6841002), (11.2645817, 50.6840565), (11.2645446, 50.6839834), (11.2643295, 50.6840209), (11.2643656, 50.6841002)]",thueringen-houses_78
"(11.602194879334615, 50.933740395609966)",78.52862148731947,,"[(11.6021167, 50.9337675), (11.6021504, 50.9336916), (11.6022731, 50.9337133), (11.6022393, 50.9337892), (11.6021167, 50.9337675)]",thueringen-houses_79
