center,area,orientation,poly,id,potential_output
"(11.447147671080758, 48.81308154666388)",396.8750170581043,,"[(11.4470181, 48.8131795), (11.4469653, 48.8130319), (11.4472773, 48.8129836), (11.44733, 48.8131312), (11.4470181, 48.8131795)]",oberbayern-houses_910,58980.58847254752
"(12.857387708655628, 47.73875333801533)",398.893379223533,,"[(12.8575403, 47.7388456), (12.8575353, 47.7387553), (12.8574701, 47.7387569), (12.8574632, 47.7386325), (12.8572799, 47.7386372), (12.8572877, 47.7387778), (12.8572536, 47.7387786), (12.8572577, 47.7388527), (12.8575403, 47.7388456)]",oberbayern-houses_610,57306.02009270081
"(11.566196150000001, 48.276823900000004)",371.9146458208561,,"[(11.566143, 48.2769528), (11.5663876, 48.2767835), (11.5662493, 48.276695), (11.5660047, 48.2768643), (11.566143, 48.2769528)]",oberbayern-houses_724,56484.53683404252
"(11.446806600000002, 48.81349695)",375.8591423276812,,"[(11.4466815, 48.8135887), (11.4466576, 48.8134223), (11.4469317, 48.8134052), (11.4469556, 48.8135716), (11.4466815, 48.8135887)]",oberbayern-houses_488,55857.36678917252
"(11.677115028036747, 48.06880589484378)",371.3751188770984,,"[(11.677, 48.0689151), (11.677003, 48.0687501), (11.6770535, 48.0687505), (11.6770545, 48.0686922), (11.6772252, 48.0686936), (11.6772236, 48.0687825), (11.6772415, 48.0687826), (11.677241, 48.0688139), (11.6772266, 48.0688138), (11.6772161, 48.0688137), (11.6772152, 48.0688657), (11.6771862, 48.0688655), (11.6771853, 48.0689166), (11.677, 48.0689151)]",oberbayern-houses_165,55734.12096548054
"(11.67846628647577, 48.06899974258904)",364.9884309617337,,"[(11.6782788, 48.0690716), (11.6785944, 48.069065), (11.6785919, 48.0690117), (11.678651, 48.0690105), (11.6786471, 48.0689267), (11.6783423, 48.068933), (11.6783451, 48.0689934), (11.6782752, 48.0689949), (11.6782788, 48.0690716)]",oberbayern-houses_185,54775.63877658218
"(11.565931514802577, 48.27664730415191)",352.61481672525406,,"[(11.5658748, 48.2767737), (11.5661194, 48.2766052), (11.5659883, 48.2765209), (11.5657436, 48.2766894), (11.5658748, 48.2767737)]",oberbayern-houses_725,53553.37529014796
"(11.44684647243935, 48.813934746212084)",356.1277791671455,,"[(11.4470111, 48.813992), (11.4467146, 48.8140213), (11.4466818, 48.8138775), (11.4469784, 48.8138482), (11.4470111, 48.813992)]",oberbayern-houses_475,52925.03958147741
"(11.445694218609376, 48.81561357018356)",356.0030897371471,,"[(11.4458794, 48.8156486), (11.4455628, 48.8157064), (11.445509, 48.8155786), (11.4458256, 48.8155207), (11.4458794, 48.8156486)]",oberbayern-houses_465,52786.35813077548
"(11.565299, 48.27866025)",329.7787485420704,,"[(11.5653311, 48.278778), (11.5654752, 48.2786842), (11.5652669, 48.2785425), (11.5651228, 48.2786363), (11.5653311, 48.278778)]",oberbayern-houses_723,50122.24754403792
"(11.447983738949215, 48.816314228489894)",337.9967075921595,,"[(11.4478761, 48.816407), (11.4478457, 48.816241), (11.4480913, 48.8162214), (11.4481218, 48.8163875), (11.4478761, 48.816407)]",oberbayern-houses_429,50116.46181822746
"(11.598604869612535, 48.171336273730525)",327.143082825467,,"[(11.5984129, 48.1712569), (11.5985198, 48.1712014), (11.5986498, 48.1713129), (11.5986828, 48.1712958), (11.5987586, 48.1713608), (11.5987132, 48.1713843), (11.5988068, 48.1714645), (11.5987656, 48.1714859), (11.5986794, 48.1714119), (11.598626, 48.1714396), (11.5986114, 48.1714271), (11.598478, 48.1713127), (11.5984129, 48.1712569)]",oberbayern-houses_765,49574.4449136642
"(11.452185126163965, 48.81482775457746)",332.2956089805812,,"[(11.452058, 48.8149089), (11.4520423, 48.8147589), (11.4523122, 48.8147466), (11.452328, 48.8148966), (11.452058, 48.8149089)]",oberbayern-houses_418,49383.28118962662
"(11.574073675368908, 48.27583726052966)",325.1068883687258,,"[(11.5739835, 48.2758439), (11.5739299, 48.2757566), (11.5740983, 48.2757141), (11.5742168, 48.2759127), (11.5741254, 48.27594), (11.5740453, 48.275963), (11.5739835, 48.2758439)]",oberbayern-houses_89,49375.60867100023
"(11.447927649999999, 48.816784399999996)",329.15112084150314,,"[(11.4478059, 48.816885), (11.4477323, 48.8167803), (11.4480494, 48.8166838), (11.448123, 48.8167885), (11.4478059, 48.816885)]",oberbayern-houses_426,48804.88244277387
"(11.632877945749945, 48.1836310933511)",321.49102402850986,,"[(11.6328401, 48.1837691), (11.6329381, 48.1837336), (11.6328787, 48.1836609), (11.6330548, 48.183597), (11.6329866, 48.1835135), (11.6327126, 48.183613), (11.6327658, 48.1836781), (11.6328401, 48.1837691)]",oberbayern-houses_282,48645.6105733139
