center,area,orientation,poly,id
"(9.955836329718986, 53.4676714422554)",60.43831890821457,,"[(9.9558029, 53.4676162), (9.9557471, 53.4676463), (9.9558698, 53.4677267), (9.9559255, 53.4676966), (9.9559085, 53.4676854), (9.9558029, 53.4676162)]",hamburg-houses_24
"(10.156559017795681, 53.63405776718733)",203.53174732625484,,"[(10.1566515, 53.6341377), (10.1564214, 53.6340918), (10.1564934, 53.6339648), (10.1565925, 53.6339845), (10.1565735, 53.6340181), (10.1567046, 53.6340443), (10.1566515, 53.6341377)]",hamburg-houses_25
"(10.084696950000001, 53.700232850000006)",71.50714959204197,,"[(10.084732, 53.700284), (10.0846267, 53.7002691), (10.0846619, 53.7001817), (10.0847672, 53.7001966), (10.084732, 53.700284)]",hamburg-houses_26
"(10.145759275634601, 53.69553015429057)",110.6203707139939,,"[(10.1456768, 53.6955761), (10.1456712, 53.695488), (10.1458417, 53.6954842), (10.1458474, 53.6955723), (10.1456768, 53.6955761)]",hamburg-houses_27
"(9.951085975192244, 53.627523668146914)",56.67936480604112,,"[(9.9509955, 53.6275291), (9.9510227, 53.6274849), (9.9511765, 53.6275183), (9.9511493, 53.6275624), (9.9509955, 53.6275291)]",hamburg-houses_28
"(10.133344911907427, 53.68163787188043)",142.45365097746253,,"[(10.1332685, 53.6817109), (10.1332256, 53.6816506), (10.1333123, 53.6816289), (10.1332796, 53.6815832), (10.1333854, 53.6815567), (10.133461, 53.6816627), (10.1332685, 53.6817109)]",hamburg-houses_29
"(10.13630105, 53.67382465000001)",129.82010584324598,,"[(10.1361795, 53.6738348), (10.1362657, 53.673755), (10.1364226, 53.6738145), (10.1363364, 53.6738943), (10.1361795, 53.6738348)]",hamburg-houses_30
"(10.133196859219161, 53.6318650812604)",93.40022033517016,,"[(10.1331097, 53.6319014), (10.1331088, 53.6318284), (10.1332843, 53.6318296), (10.1332861, 53.6319008), (10.1331097, 53.6319014)]",hamburg-houses_31
"(10.1175351262098, 53.640231240464686)",222.68423215998337,,"[(10.1173086, 53.6402847), (10.1176335, 53.6403018), (10.1176595, 53.6401403), (10.1175259, 53.6401327), (10.1175084, 53.6402411), (10.1174039, 53.6402352), (10.1174002, 53.6402578), (10.1173147, 53.6402528), (10.1173086, 53.6402847)]",hamburg-houses_32
"(10.039692783717665, 53.604762095174486)",102.3196989921853,,"[(10.0398085, 53.604746), (10.0397891, 53.6047869), (10.0397711, 53.6047839), (10.0397575, 53.6048126), (10.0395989, 53.604786), (10.0396105, 53.6047575), (10.0395861, 53.6047534), (10.0396056, 53.6047122), (10.0398085, 53.604746)]",hamburg-houses_33
"(9.9435152, 53.6030641)",90.64957654476166,,"[(9.9434136, 53.6030713), (9.9434891, 53.6030054), (9.9436168, 53.6030569), (9.9435413, 53.6031228), (9.9434136, 53.6030713)]",hamburg-houses_34
"(9.885957743745465, 53.556464777270826)",190.78984454390593,,"[(9.8858427, 53.55652), (9.8859047, 53.5565239), (9.8859036, 53.5565298), (9.8859662, 53.5565337), (9.8859673, 53.5565274), (9.8860358, 53.5565317), (9.8860386, 53.556516), (9.8860552, 53.5565171), (9.8860654, 53.5564587), (9.8860495, 53.5564577), (9.886056, 53.5564206), (9.8860525, 53.5564204), (9.8860566, 53.5563967), (9.885945, 53.5563898), (9.8859411, 53.5564124), (9.8858624, 53.5564075), (9.8858427, 53.55652)]",hamburg-houses_35
"(9.964825286219618, 53.45781486608731)",62.171778621384874,across,"[(9.9647562, 53.4578445), (9.9647597, 53.4578359), (9.9647885, 53.4577783), (9.9647929, 53.4577679), (9.9648944, 53.4577851), (9.9648578, 53.4578617), (9.9647562, 53.4578445)]",hamburg-houses_36
"(10.133261446329868, 53.685036943096584)",99.81673575099558,,"[(10.1331797, 53.6850804), (10.1331661, 53.6850046), (10.1333433, 53.6849935), (10.1333567, 53.6850693), (10.1331797, 53.6850804)]",hamburg-houses_37
"(9.893522367492658, 53.56632329575935)",59.46311440318823,across,"[(9.8935321, 53.5662735), (9.8935993, 53.5663439), (9.8935127, 53.5663731), (9.8934454, 53.5663027), (9.8935321, 53.5662735)]",hamburg-houses_38
"(10.09420635, 53.675613600000005)",62.48858929891139,,"[(10.0941505, 53.6756521), (10.0941552, 53.6755728), (10.0942622, 53.6755751), (10.0942575, 53.6756544), (10.0941505, 53.6756521)]",hamburg-houses_39
"(10.12809705, 53.679121599999995)",103.86620827391744,,"[(10.1279885, 53.6791366), (10.1280424, 53.6790641), (10.1282056, 53.6791066), (10.1281517, 53.6791791), (10.1279885, 53.6791366)]",hamburg-houses_40
"(10.10957132805569, 53.6110043516567)",47.33710572309792,,"[(10.1094837, 53.6109916), (10.1094915, 53.6110294), (10.109659, 53.6110171), (10.1096511, 53.6109793), (10.1094837, 53.6109916)]",hamburg-houses_41
"(10.088681675907255, 53.68622705923447)",158.51097952760756,,"[(10.088618, 53.6863062), (10.0886062, 53.6861516), (10.0887453, 53.6861479), (10.0887572, 53.6863025), (10.088618, 53.6863062)]",hamburg-houses_42
"(10.098504510992463, 53.67569638061691)",78.7089445926249,,"[(10.098439, 53.6757373), (10.0984305, 53.6756609), (10.09857, 53.6756555), (10.0985786, 53.6757318), (10.098439, 53.6757373)]",hamburg-houses_43
"(10.132508690180645, 53.6354935229926)",110.13848100230098,,"[(10.1325652, 53.635553), (10.1324307, 53.6355438), (10.1324522, 53.635434), (10.1325867, 53.6354433), (10.1325652, 53.635553)]",hamburg-houses_44
"(9.822668925776908, 53.56625592581075)",147.74389410670847,,"[(9.8225512, 53.5663004), (9.8227926, 53.5662943), (9.8227867, 53.5662115), (9.8225453, 53.5662175), (9.8225512, 53.5663004)]",hamburg-houses_45
"(10.129364521861243, 53.680800696531016)",146.50581546500325,,"[(10.1292771, 53.6808591), (10.1292471, 53.6807652), (10.129452, 53.6807423), (10.1294819, 53.6808362), (10.1292771, 53.6808591)]",hamburg-houses_46
"(10.096114370298265, 53.675204396774824)",85.27482018992305,,"[(10.096059, 53.6752536), (10.0960222, 53.6751816), (10.0961698, 53.6751552), (10.0962065, 53.6752272), (10.096059, 53.6752536)]",hamburg-houses_47
"(9.911797947747331, 53.64541842534364)",215.9048415981233,,"[(9.9117272, 53.6453548), (9.9116327, 53.6454307), (9.911812, 53.6455091), (9.9119594, 53.6453907), (9.9118327, 53.6453353), (9.9117797, 53.6453778), (9.9117272, 53.6453548)]",hamburg-houses_48
"(9.912007888947091, 53.64474870584442)",171.75980022829026,,"[(9.9120149, 53.6447122), (9.9118661, 53.6447785), (9.9119427, 53.6448389), (9.9121497, 53.6447467), (9.9120741, 53.6446871), (9.9120648, 53.6446912), (9.9120011, 53.644641), (9.9119523, 53.6446628), (9.9120149, 53.6447122)]",hamburg-houses_49
"(10.10591737929941, 53.62123709351624)",73.56643886119127,,"[(10.1058457, 53.6212739), (10.1058845, 53.6211843), (10.1059891, 53.6212003), (10.1059502, 53.6212899), (10.1058457, 53.6212739)]",hamburg-houses_50
